mysql> select * from rt2;
+---------------------+----------------+-----------+----------+-----------+------+------+------+------+------+------+------+------+------+------+------+------+
| createdDate         | sequenceNumber | frameType | latitude | longitude | c1   | c2   | c3   | c4   | c5   | c6   | c7   | c8   | c9   | c10  | c11  | c12  |
| 2014-08-09 18:41:50 |       11413561 |        16 | 63.21    | 19.34     |  861 |    0 |    0 |  966 |    0 |  909 |    0 |  131 |    0 |  951 |  616 |    0 |
| 2014-08-09 18:41:50 |       11413561 |        17 | 63.21    | 19.33     |  861 |    0 |    0 |  966 |    0 |  909 |    0 |  131 |    0 |  951 |  616 |    0 |
| 2014-08-09 18:42:00 |       11413561 |        18 | 63.79    | 18.85     |  865 |    0 |    0 |  966 |    0 |  911 |    0 |  132 |    0 |  386 |  855 |    0 |
| 2014-08-09 18:42:00 |       11413561 |        19 | 63.79    | 18.84     |  865 |    0 |    0 |  966 |    0 |  911 |    0 |  132 |    0 |  386 |  855 |    0 |
| 2014-08-09 18:42:10 |       11413561 |        20 | 64.37    | 18.34     |  869 |    0 |    0 |  966 |    0 |  911 |    0 |  131 |    0 |  381 |  843 |    0 |
| 2014-08-09 18:42:10 |       11413561 |        21 | 64.37    | 18.33     |  869 |    0 |    0 |  966 |    0 |  911 |    0 |  131 |    0 |  381 |  843 |    0 |
| 2014-08-09 18:42:20 |       11413561 |        22 | 64.95    | 17.81     |  872 |    0 |    0 |  966 |    0 |  915 |    0 |  134 |    0 |  377 |  834 |    0 |
| 2014-08-09 18:42:25 |       11413561 |        23 | 65.24    | 17.53     |  872 |    0 |    0 |  966 |    0 |  915 |    0 |  134 |    0 |  377 |  834 |    0 |
| 2014-08-09 18:42:30 |       11413562 |         0 | 65.53    | 17.26     |  879 |    0 |    0 |  966 |    0 |  916 |    0 |  669 |    0 |  371 |  623 |    0 |
| 2014-08-09 18:42:35 |       11413562 |         1 | 65.81    | 16.97     |  879 |    0 |    0 |  966 |    0 |  916 |    0 |  669 |    0 |  371 |  623 |    0 |
| 2014-08-09 18:42:40 |       11413562 |         2 | 66.1     | 16.68     |  885 |    0 |    0 |  967 |    0 |  918 |    0 |  141 |    0 |  372 |  847 |    0 |
| 2014-08-09 18:42:40 |       11413562 |         3 | 66.1     | 16.68     |  885 |    0 |    0 |  967 |    0 |  918 |    0 |  141 |    0 |  372 |  847 |    0 |
| 2014-08-09 18:42:50 |       11413562 |         4 | 66.67    | 16.08     |  891 |    0 |  966 |    0 |    0 |  919 |    0 |  144 |    0 |  370 |  837 |    0 |
| 2014-08-09 18:42:50 |       11413562 |         5 | 66.67    | 16.08     |  891 |    0 |  966 |    0 |    0 |  919 |    0 |  144 |    0 |  370 |  837 |    0 |
| 2014-08-09 18:43:00 |       11413562 |         6 | 67.24    | 15.46     |  897 |    0 |  934 |    0 |    0 |  921 |    0 |  148 |    0 |  370 |  841 |    0 |
| 2014-08-09 18:43:00 |       11413562 |         7 | 67.25    | 15.45     |  897 |    0 |  934 |    0 |    0 |  921 |    0 |  148 |    0 |  370 |  841 |    0 |
| 2014-08-09 18:43:10 |       11413562 |         8 | 67.81    | 14.8      |  904 |    0 |  902 |    0 |    0 |  923 |    0 |  155 |    0 |  371 |  697 |    0 |
| 2014-08-09 18:43:10 |       11413562 |         9 | 67.82    | 14.8      |  904 |    0 |  902 |    0 |    0 |  923 |    0 |  155 |    0 |  371 |  697 |    0 |
| 2014-08-09 18:43:15 |       11413562 |        10 | 68.1     | 14.46     |  910 |    0 |  875 |    0 |    0 |  924 |    0 |  161 |    0 |  369 |  695 |    0 |
| 2014-08-09 18:43:20 |       11413562 |        11 | 68.38    | 14.12     |  910 |    0 |  875 |    0 |    0 |  924 |    0 |  161 |    0 |  369 |  695 |    0 |
| 2014-08-09 18:43:25 |       11413562 |        12 | 68.66    | 13.76     |  842 |    0 |  821 |    0 |    0 |  926 |    0 |  167 |    0 |  369 |  880 |    0 |
| 2014-08-09 18:43:30 |       11413562 |        13 | 68.94    | 13.4      |  842 |    0 |  821 |    0 |    0 |  926 |    0 |  167 |    0 |  369 |  880 |    0 |
| 2014-08-09 18:43:35 |       11413562 |        14 | 69.23    | 13.03     |  919 |    0 |  830 |    0 |    0 |  926 |    0 |  173 |    0 |  380 |  822 |    0 |
| 2014-08-09 18:43:45 |       11413562 |        15 | 69.78    | 12.26     |  919 |    0 |  830 |    0 |    0 |  926 |    0 |  173 |    0 |  380 |  822 |    0 |
| 2014-08-09 18:43:45 |       11413562 |        16 | 69.79    | 12.26     |  925 |    0 |  812 |    0 |    0 |  927 |    0 |  181 |    0 |  372 |  816 |    0 |
| 2014-08-09 18:43:55 |       11413562 |        17 | 70.34    | 11.45     |  925 |    0 |  812 |    0 |    0 |  927 |    0 |  181 |    0 |  372 |  816 |    0 |
| 2014-08-09 18:43:55 |       11413562 |        18 | 70.34    | 11.45     |  929 |    0 |  796 |    0 |    0 |  926 |    0 |  187 |    0 |  371 |  822 |    0 |
| 2014-08-09 18:44:05 |       11413562 |        19 | 70.89    | 10.6      |  929 |    0 |  796 |    0 |    0 |  926 |    0 |  187 |    0 |  371 |  822 |    0 |
| 2014-08-09 18:44:05 |       11413562 |        20 | 70.89    | 10.59     |  933 |    0 |  783 |    0 |    0 |  930 |    0 |  197 |    0 |  371 |  757 |    0 |
| 2014-08-09 18:44:15 |       11413562 |        21 | 71.44    | 9.7       |  933 |    0 |  783 |    0 |    0 |  930 |    0 |  197 |    0 |  371 |  757 |    0 |
| 2014-08-09 18:44:15 |       11413562 |        22 | 71.44    | 9.69      |  937 |    0 |  772 |    0 |    0 |  931 |    0 |  207 |    0 |  371 |  809 |    0 |
| 2014-08-09 18:44:25 |       11413562 |        23 | 71.99    | 8.75      |  937 |    0 |  772 |    0 |    0 |  931 |    0 |  207 |    0 |  371 |  809 |    0 |
